elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.533042752,-0.533042752,0.18,-0.04,2.3,0.037179461,1247.506255,65,45,44.60534634,2.046697368,0.671636002,3.11098,11.40692667,10.40692667,137.5645499
0.543054984,-0.543054984,0.18,-0.04,2,0.03795991,1231.259132,65,45,44.60534634,2.03695119,0.667799912,3.11098,11.40692667,10.40692667,123.9388234
0.544180183,-0.544180183,0.18,-0.04,1.7,0,1204.239221,65,45,44.60534634,2.027297393,0.6640038,3.11098,11.40692667,10.40692667,124.9824601
0.538476894,-0.538476894,0.18,-0.04,1.9,0,1157.066821,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,102.7780496
0.533267498,-0.533267498,0.18,-0.04,1.8,0,1117.063129,65,45,44.60534634,2.030505142,0.665264766,3.11098,11.40692667,10.40692667,93.63597165
0.529162375,-0.529162375,0.18,-0.04,1.3,0,1085.499383,65,45,44.60534634,2.014567111,0.659003464,3.11098,11.40692667,10.40692667,110.9631369
0.530349006,-0.530349006,0.18,-0.04,1.2,0,1131.14897,65,45,44.60534634,2.011409483,0.657764154,3.11098,11.40692667,10.40692667,135.1228492
0.530112576,-0.530112576,0.18,-0.04,1.3,0,1170.310887,65,45,44.60534634,2.014567111,0.659003464,3.11098,11.40692667,10.40692667,135.6687148
0.528641343,-0.528641343,0.18,-0.04,0.8,0,1189.143618,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,93.95777974
0.522535514,-0.522535514,0.18,-0.04,0.7,0,1202.973906,65,45,44.60534634,1.995768663,0.651631168,3.11098,11.40692667,10.40692667,68.54349052
0.517052905,-0.517052905,0.18,-0.04,1,0,1234.295606,65,45,44.60534634,2.005123828,0.65529831,3.11098,11.40692667,10.40692667,59.26416569
0.512190957,-0.512190957,0.18,-0.04,1.3,0,1253.057683,65,45,44.60534634,2.014567111,0.659003464,3.11098,11.40692667,10.40692667,56.7063448
0.507368194,-0.507368194,0.18,-0.04,1.4,0,1253.252007,65,45,44.60534634,2.01773467,0.660247063,3.11098,11.40692667,10.40692667,56.70951964
0.503068402,-0.503068402,0.18,-0.04,1,0,1246.276522,65,45,44.60534634,2.005123828,0.65529831,3.11098,11.40692667,10.40692667,56.49233809
0.506649347,-0.506649347,0.18,-0.04,0.6,0,1234.039013,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,55.0378312
0.515264746,-0.515264746,0.18,-0.04,0,0,1216.690901,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,54.1467598
0.532058553,-0.532058553,0.18,-0.04,-0.5,0,1213.473533,65,45,44.60534634,1.959204962,0.637331607,3.11098,11.40692667,10.40692667,55.59194196
0.549082082,-0.549082082,0.18,-0.04,-0.8,0,1272.557669,65,45,44.60534634,1.950272416,0.633846278,3.11098,11.40692667,10.40692667,66.65229839
0.558613308,-0.558613308,0.18,-0.04,-0.7,0,1414.354606,65,45,44.60534634,1.953240868,0.635004164,3.11098,11.40692667,10.40692667,81.84344959
0.559983157,-0.559983157,0.18,-0.04,0.3,0.010176627,1463.91388,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,96.96340792
0.551371258,-0.551371258,0.18,-0.04,0.5,0.011625413,1426.307311,65,45,44.60534634,1.989580233,0.649207247,3.11098,11.40692667,10.40692667,113.4056602
0.532573615,-0.532573615,0.18,-0.04,0.4,0.030549085,1382.637861,65,45,44.60534634,1.986500387,0.648001476,3.11098,11.40692667,10.40692667,117.4229151
0.510001048,-0.510001048,0.18,-0.04,0.5,0.150473372,1324.144887,65,45,44.60534634,1.989580233,0.649207247,3.11098,11.40692667,10.40692667,138.6215022
0.496529098,-0.496529098,0.18,-0.04,0.9,0.100317367,1263.605656,65,45,44.60534634,2.00199571,0.654071734,3.11098,11.40692667,10.40692667,134.6862728
0.488768621,-0.488768621,0.18,-0.04,0.6,0.066325114,1228.876089,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,137.5645499
0.4788,-0.4788,0.18,-0.04,0.8,0.017539027,1215.040653,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,123.9388234
0.462307344,-0.462307344,0.18,-0.04,1,0,1198.816771,65,45,44.60534634,2.005123828,0.65529831,3.11098,11.40692667,10.40692667,124.9824601
